productType,productName,price,url,description,terrain,abilityLevel,rockerType,shape,flexRating,materials,warranty
Snowboard,CAPiTA Children Of The Gnar Snowboard - Kids' 2023,$349.95,https://www.evo.com/snowboards/capita-children-of-the-gnar-snowboard-kids,"When it comes time to celebrate your kiddo's shred-mitzvah - that is, the moment they come of age and hit the big jumps in the park - tradition dictates that you upgrade their beat up hand-me-down board to the CAPiTA Children Of The Gnar Snowboard. With features like next-generation hybrid camber, this high performance tween-age destroyer can go anywhere and do anything a young freestyler puts his mind to.","Freestyle, All-Mountain",Intermediate-Advanced,Rocker/Camber/Rocker,True Twin,Soft,Wood,2 Years
Snowboard,K2 Instrument Snowboard 2023,$529.95,https://www.evo.com/snowboards/k2-instrument-snowboard,"Size down so you can power up on the K2 Instrument Snowboard. If you're looking for fun and versatility, this directional, volume shifted shape is the full package. Featuring K2's new S1 core and Carbon Torque Forks, it provides lively rebound out of turns and smooth stability at speed. It's a great board for powder days, spring slush laps, snappy groomer turns, and ear-to-ear smiles.","All-Mountain, Freeride, Powder",Intermediate-Advanced,Rocker/Camber,Directional,Stiff,"Bamboo, Carbon, Wood",3 Years
Snowboard,Arbor Bryan Iguchi Pro Camber Splitboard,$849.95,https://www.evo.com/outlet/splitboards/arbor-bryan-iguchi-pro-camber-splitboard-2023,"There are few snowboarders whose names are as synonymous with backcountry riding as Bryan Iguchi. One of the OG legends of the big mountain scene, the Guch can often be found in his backyard of Grand Teton National Park looking for big lines far removed from chairlifts and crowds, and he does it all on the Arbor Bryan Iguchi Pro Camber Splitboard. This split is built to handle the most technical terrain around, and earns its trust on everything from mid winter powder laps to late season volcano missions. It's confidence inspiring, powerful, and fun, and simply one of the best backcountry setups you get hop onto, period.",Splitboarding,Advanced-Expert,Camber,Directional,Stiff,Wood,3 Years
Snowboard,Nidecker Ora Snowboard - Women's 2023,$369.95,https://www.evo.com/snowboards/nidecker-ora-snowboard-womens,"For a board you can hop on and jive with one day one, look no further than the Nidecker Ora Snowboard. With a directional twin shape, Standard CamRock profile, and a snappy full wood core backed up by Nidecker's Classic Sandwich construction, the Ora is ideal for women seeking something a little less punishing, and a lot more fun.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Directional Twin,Medium,Wood,3 Years
Snowboard,Lib Tech TRS C3 Snowboard 2023,$659.99,https://www.evo.com/snowboards/lib-tech-trs-c3-snowboard-2023,"Are you a Total Ripper looking for your next freestyle steed? The Lib Tech TRS C3 Snowboard is what you need. This directional twin is built to trick it's way across the mountain, with Lib Tech's most aggressive camber profile and the explosive Horsepower layup giving you the boost you need to send it big. New for this year, it's been enhanced with bamboo sections under the feet for added precision and pop, making this all-mountain weapon that much more deadly.","Freestyle, All-Mountain",Advanced-Expert,Camber/Rocker/Camber,Directional Twin,Stiff,"Bamboo, Basalt, Wood",1 Year
Snowboard,K2 Alchemist Snowboard 2023,$699.95,https://www.evo.com/snowboards/k2-alchemist-snowboard,"The K2 Alchemist Snowboard is your directional big gun for full throttle freeriding. It's stiff and cambered for tons of power and edge hold, but with a setback stance and upturned nose to stay on top when it gets deep. If your idea of a good time involves cliff drops, face shots, and no speed limits, the Alchemist is a solid candidate for the only board you'll ever need.",Freeride,Advanced-Expert,Rocker/Camber,Directional,Very Stiff,"Bamboo, Carbon, Wood",3 Years
Snowboard,Ride Shadowban Snowboard 2023,$499.95,https://www.evo.com/snowboards/ride-shadowban-snowboard-2023,"Continuing in their trend of making excellent unisex snowboards that are truly built for everyone, Ride introduces the all-new Ride Shadowban Snowboard this year. It's a smooth flexing directional twin with a ton of tech, a camber-dominant profile, a multi-radius sidecut, and sizes all the way from 147 to 164. This dark horse is the perfect board for any rider to grab any day of the season and know they're in for a fun-filled day on the mountain.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Directional Twin,Soft,"Bamboo, Carbon, Wood",3 Years
Snowboard,CAPiTA The Equalizer Snowboard - Women's 2023,$529.95,https://www.evo.com/snowboards/capita-the-equalizer-snowboard-womens-2023,"Jess Kimura is here to bring balance to the world of snowboarding. Her steed? The CAPiTA The Equalizer Snowboard, an all mountain freeride machine capable of handling everything from techy big mountain lines to clean corduroy carves. Designed specifically for women, the Equalizer features mild directional taper, Capita's hybrid Alpine V1 camber profile, and a host of high end materials that deliver exceptional control and stability at speed without overpowering the pilot. For technically demanding riders, this is a top shelf option that's impossible to ignore.","All-Mountain, Freeride",Advanced-Expert,Rocker/Camber/Rocker,Directional,Medium,"Aramid (Kevlar®), Flax, Wood",2 Years
Snowboard,Ride MTNpig Snowboard 2023,$649.95,https://www.evo.com/snowboards/ride-mtnpig-snowboard-2023,"This little piggy went to the groomer, this little piggy went to the park. But the Ride MTNpig Snowboard went to the powder, and slayed huge lines 'til dark. If your idea of hog heaven is romping around the biggest terrain your mountain has to offer and seeking out the deepest snow you can find, the King of Bacon is the only board for you. This big pig is the most teched out, directionally destructive member of Ride's infamous Warpig lineage. If you're not already impressed by the sick looking half-moon tail or laundry list of carbon reinforcements in this thing, just take it out there and go huck some ham off a cliffdrop, and you'll see what we mean.","All-Mountain, Freeride",Advanced-Expert,Rocker/Camber,Directional,Stiff,"Bamboo, Carbon, Wood",3 Years
Snowboard,Lobster Sender Snowboard 2023,$529.95,https://www.evo.com/snowboards/lobster-sender-snowboard,"Stiff, aggressive, and ready to get airborne, the Lobster The Sender Snowboard is an all-mountain charger with a playful side. A freestyle 3BT™ profile and almost twin shape features a medium center base and a stiffer flex for a responsive and easy ride that works on every section of the mountain. With carbon stringers for a little extra pop and an Ultra Glide S Base to for impressive speed and tunability, this is the board you want for blasting it down the hill.",All-Mountain,Advanced-Expert,Camber,True Twin,Stiff,"Carbon, Wood",2 Years
